AUC,Beta1,Beta2
22869.69832,1,0
23435.04609,1,0.1
23787.40084,1,0.2
24119.69832,1,0.3
24227.95112,1,0.4
24385.97765,1,0.5
24383.39385,1,0.6
24377.52514,1,0.7
24492.96508,1,0.8
24520.05726,1,0.9
24482.64385,1,1
24508.38827,1,1.1
24511.04749,1,1.2
24538.51536,1,1.3
24552.78073,1,1.4
24552.83101,1,1.5
24618.93156,1,1.6
24595.56983,1,1.7
24620.19413,1,1.8
24631.03352,1,1.9
24672.01536,1,2
24671.3743,1,2.1
24693.11173,1,2.2
24761.40223,1,2.3
24765.02095,1,2.4
24761.55028,1,2.5
24764.30726,1,2.6
24772.4176,1,2.7
24768.61592,1,2.8
24723.33939,1,2.9
24734.17737,1,3
24744.33939,1,3.1
24765.49721,1,3.2
24747.60335,1,3.3
24784.76117,1,3.4
24797.58659,1,3.5
24810.3757,1,3.6
24756.42179,1,3.7
24831.20112,1,3.8
24830.0014,1,3.9
24853.26257,1,4
24870.1257,1,4.1
24901.5824,1,4.2
24878.10615,1,4.3
24902.70391,1,4.4
24927.02793,1,4.5
24903.44553,1,4.6
24916.10475,1,4.7
24915.50838,1,4.8
24920.48743,1,4.9
24950.64944,1,5
24951.42598,1,5.1
24918.54749,1,5.2
24918.82821,1,5.3
24922.01955,1,5.4
24942.61592,1,5.5
24925.2919,1,5.6
24931.31704,1,5.7
24913.78492,1,5.8
24928.35475,1,5.9
24932.33101,1,6
23744.32263,2,0
23882.4162,2,0.1
24163.42458,2,0.2
24403.56425,2,0.3
24441.0838,2,0.4
24498.78212,2,0.5
24505.62989,2,0.6
24487.20112,2,0.7
24504.62151,2,0.8
24522.74441,2,0.9
24509.95531,2,1
24551.98464,2,1.1
24585.11872,2,1.2
24608.64804,2,1.3
24616.35754,2,1.4
24591.15782,2,1.5
24610.27793,2,1.6
24658.50279,2,1.7
24688.00698,2,1.8
24704.55028,2,1.9
24716.14525,2,2
24732.37989,2,2.1
24762.81425,2,2.2
24801.98883,2,2.3
24792.78771,2,2.4
24787.71648,2,2.5
24775.75978,2,2.6
24790.99162,2,2.7
24766.09078,2,2.8
24757.2919,2,2.9
24798.22626,2,3
24814.67598,2,3.1
24799.19553,2,3.2
24831.52095,2,3.3
24807.4148,2,3.4
24854.80028,2,3.5
24791.5824,2,3.6
24849.52793,2,3.7
24874.40782,2,3.8
24878.31145,2,3.9
24895.10056,2,4
24898.31983,2,4.1
24885.43715,2,4.2
24925.93296,2,4.3
24924.85056,2,4.4
24922.1662,2,4.5
24931.41201,2,4.6
24927.32542,2,4.7
24919.5405,2,4.8
24938.5824,2,4.9
24951.28771,2,5
24927.33101,2,5.1
24920.8324,2,5.2
24936.54609,2,5.3
24948.4581,2,5.4
24889.85056,2,5.5
24908.52793,2,5.6
24921.75,2,5.7
24931.66899,2,5.8
24917.86592,2,5.9
24934.05587,2,6
23931.74721,3,0
24204.72486,3,0.1
24411.7905,3,0.2
24483.98603,3,0.3
24527.53212,3,0.4
24525.73045,3,0.5
24526.72207,3,0.6
24504.94134,3,0.7
24506.30587,3,0.8
24525.55028,3,0.9
24586.18575,3,1
24581.92598,3,1.1
24600.87989,3,1.2
24626.37849,3,1.3
24639.41899,3,1.4
24662.78631,3,1.5
24739.6648,3,1.6
24682.35615,3,1.7
24710.39106,3,1.8
24751.46369,3,1.9
24791.71229,3,2
24834.18715,3,2.1
24862.18296,3,2.2
24823.57961,3,2.3
24794.18855,3,2.4
24790.41341,3,2.5
24813.57123,3,2.6
24792.89665,3,2.7
24805.44553,3,2.8
24817.58101,3,2.9
24841.97626,3,3
24844.77793,3,3.1
24825.9986,3,3.2
24806.79469,3,3.3
24838.42737,3,3.4
24816.76257,3,3.5
24827.48324,3,3.6
24881.04749,3,3.7
24901.36592,3,3.8
24882.04749,3,3.9
24868.82961,3,4
24897.43156,3,4.1
24921.25698,3,4.2
24941.85475,3,4.3
24948.93575,3,4.4
24921.48045,3,4.5
24907.10056,3,4.6
24896.56145,3,4.7
24929.5,3,4.8
24921.61872,3,4.9
24915.56006,3,5
24936.36872,3,5.1
24945.37011,3,5.2
24935.03492,3,5.3
24911.56006,3,5.4
24898.28352,3,5.5
24913.11453,3,5.6
24944.21788,3,5.7
24945.5419,3,5.8
24960.52514,3,5.9
24947.51676,3,6
24328.54888,4,0
24418.77514,4,0.1
24522.7514,4,0.2
24526.26676,4,0.3
24585.56145,4,0.4
24497.0433,4,0.5
24533.04888,4,0.6
24551.41341,4,0.7
24585.26676,4,0.8
24597.27793,4,0.9
24605.44553,4,1
24637.71508,4,1.1
24639.82542,4,1.2
24636.80028,4,1.3
24696.80028,4,1.4
24699.09078,4,1.5
24677.91899,4,1.6
24742.37151,4,1.7
24788.75838,4,1.8
24811.88268,4,1.9
24839.06006,4,2
24860.88827,4,2.1
24795.6676,4,2.2
24804.44693,4,2.3
24801.47067,4,2.4
24826.28911,4,2.5
24788.46369,4,2.6
24794.66899,4,2.7
24799.53492,4,2.8
24829.38687,4,2.9
24840.2905,4,3
24831.59777,4,3.1
24826.02235,4,3.2
24845.61453,4,3.3
24820.7919,4,3.4
24852.51676,4,3.5
24875.06704,4,3.6
24894.72486,4,3.7
24870.43436,4,3.8
24864.42458,4,3.9
24882.3757,4,4
24927.21927,4,4.1
24914.52793,4,4.2
24924.36453,4,4.3
24889.48184,4,4.4
24893.81145,4,4.5
24926.32961,4,4.6
24938.91899,4,4.7
24949.47207,4,4.8
24949.02933,4,4.9
24948.34218,4,5
24946.68296,4,5.1
24936.98603,4,5.2
24901.65363,4,5.3
24905.95391,4,5.4
24939.18575,4,5.5
24955.75838,4,5.6
24971.19832,4,5.7
24961.12011,4,5.8
24954.04469,4,5.9
24955.49022,4,6
24470.35754,5,0
24448.91899,5,0.1
24557.13408,5,0.2
24619.57961,5,0.3
24568.59078,5,0.4
24564.5838,5,0.5
24581.69693,5,0.6
24573.78492,5,0.7
24537.19274,5,0.8
24553.37011,5,0.9
24593.53212,5,1
24665.04888,5,1.1
24677.61453,5,1.2
24744.19553,5,1.3
24721.24441,5,1.4
24708.21369,5,1.5
24774.40503,5,1.6
24836.82263,5,1.7
24826.06425,5,1.8
24833.00838,5,1.9
24834.98184,5,2
24815.09916,5,2.1
24804.43296,5,2.2
24801.70112,5,2.3
24808.79749,5,2.4
24810.8743,5,2.5
24800.11453,5,2.6
24780.49581,5,2.7
24836.81425,5,2.8
24823.23324,5,2.9
24830.2067,5,3
24821.2514,5,3.1
24819.14804,5,3.2
24840.57263,5,3.3
24840.99441,5,3.4
24888.45531,5,3.5
24911.84497,5,3.6
24895.47765,5,3.7
24877.7514,5,3.8
24882.38128,5,3.9
24915.82123,5,4
24922.90642,5,4.1
24934.46369,5,4.2
24900.73464,5,4.3
24919.48324,5,4.4
24939.50559,5,4.5
24945.55447,5,4.6
24954.15084,5,4.7
24967.69553,5,4.8
24934.40922,5,4.9
24949.74721,5,5
24919.54609,5,5.1
24920.58659,5,5.2
24923.35335,5,5.3
24952.99721,5,5.4
24961.53073,5,5.5
24968.21089,5,5.6
24943.81564,5,5.7
24959.92458,5,5.8
24982.0014,5,5.9
24994.71089,5,6
24467.52514,6,0
24553.77095,6,0.1
24591.09777,6,0.2
24529.10754,6,0.3
24511.94134,6,0.4
24558.84218,6,0.5
24570.87989,6,0.6
24555.48743,6,0.7
24604.55587,6,0.8
24644.95251,6,0.9
24701.67458,6,1
24732.65363,6,1.1
24750.88268,6,1.2
24733.89106,6,1.3
24753.42877,6,1.4
24809.22765,6,1.5
24808.5014,6,1.6
24813.83101,6,1.7
24798.06006,6,1.8
24856.75838,6,1.9
24825.91201,6,2
24845.96648,6,2.1
24804.69832,6,2.2
24794.54609,6,2.3
24813.90084,6,2.4
24799.36872,6,2.5
24825.31145,6,2.6
24862.52933,6,2.7
24857.81844,6,2.8
24879.7933,6,2.9
24858.95391,6,3
24859.72765,6,3.1
24913.05726,6,3.2
24882.05447,6,3.3
24897.94413,6,3.4
24889.20112,6,3.5
24874.65642,6,3.6
24887.75838,6,3.7
24860.77235,6,3.8
24906.52374,6,3.9
24915.92598,6,4
24905.92877,6,4.1
24913.39525,6,4.2
24932.52095,6,4.3
24933.68156,6,4.4
24955.73184,6,4.5
24958.99302,6,4.6
24937.25978,6,4.7
24952.09777,6,4.8
24952.31145,6,4.9
24936.24022,6,5
24934.72207,6,5.1
24927.36173,6,5.2
24977.4581,6,5.3
24977.77095,6,5.4
24984.52374,6,5.5
24981.01257,6,5.6
24979.05726,6,5.7
24976.35196,6,5.8
24974.44134,6,5.9
24986.38547,6,6
24485.74022,7,0
24489.88547,7,0.1
24497.65084,7,0.2
24503.26117,7,0.3
24537.72207,7,0.4
24557.98184,7,0.5
24575.17877,7,0.6
24638.22207,7,0.7
24679.6243,7,0.8
24704.61592,7,0.9
24721.1648,7,1
24712.04749,7,1.1
24784.0852,7,1.2
24804.31983,7,1.3
24816.80307,7,1.4
24799.44134,7,1.5
24795.51536,7,1.6
24863.29888,7,1.7
24850.8757,7,1.8
24849.94413,7,1.9
24846.7067,7,2
24834.23743,7,2.1
24838.65782,7,2.2
24845.93017,7,2.3
24846.18436,7,2.4
24830.39106,7,2.5
24847.34218,7,2.6
24856.52374,7,2.7
24849.08659,7,2.8
24838.11034,7,2.9
24867.51536,7,3
24908.61872,7,3.1
24855.84777,7,3.2
24836.33799,7,3.3
24875.36732,7,3.4
24870.13547,7,3.5
24873.53073,7,3.6
24877.12709,7,3.7
24904.84218,7,3.8
24932.31006,7,3.9
24921.01257,7,4
24919.55307,7,4.1
24905.59078,7,4.2
24933.28492,7,4.3
24940.77235,7,4.4
24942.81844,7,4.5
24962.9162,7,4.6
24985.89385,7,4.7
24959.60475,7,4.8
24966.78631,7,4.9
24949.71648,7,5
24943.16061,7,5.1
24987.00838,7,5.2
24978.80587,7,5.3
24977.49162,7,5.4
24965.54888,7,5.5
24971.46788,7,5.6
24981.3743,7,5.7
24983.76676,7,5.8
24983.06704,7,5.9
25005.87989,7,6
24492.2081,8,0
24550.11173,8,0.1
24554.92458,8,0.2
24568.46508,8,0.3
24586.74581,8,0.4
24664.60196,8,0.5
24631.79749,8,0.6
24674.40223,8,0.7
24734.17737,8,0.8
24784.18017,8,0.9
24828.79749,8,1
24809.32263,8,1.1
24847.6676,8,1.2
24824.34218,8,1.3
24850.37989,8,1.4
24827.0419,8,1.5
24816.59916,8,1.6
24798.57263,8,1.7
24793.67598,8,1.8
24837.70391,8,1.9
24855.6662,8,2
24848.78352,8,2.1
24840.49721,8,2.2
24861.63128,8,2.3
24845.6662,8,2.4
24841.43296,8,2.5
24835.29469,8,2.6
24848.43994,8,2.7
24842.33799,8,2.8
24823.02095,8,2.9
24854.76816,8,3
24854.22626,8,3.1
24845.36173,8,3.2
24876.1243,8,3.3
24891.92318,8,3.4
24881.85754,8,3.5
24902.61313,8,3.6
24929.05307,8,3.7
24944.48324,8,3.8
24923.70112,8,3.9
24922.38966,8,4
24912.22207,8,4.1
24951.17458,8,4.2
24978.42318,8,4.3
24958.82961,8,4.4
24979.28631,8,4.5
24985.1243,8,4.6
24966.8324,8,4.7
24949.00698,8,4.8
24966.34218,8,4.9
24952.0433,8,5
24990.26397,8,5.1
24977.88687,8,5.2
24959.28492,8,5.3
24955.07542,8,5.4
24982.04749,8,5.5
24980.84218,8,5.6
24993.01955,8,5.7
24985.55726,8,5.8
25027.6662,8,5.9
25033.42877,8,6
24561.20112,9,0
24613.71089,9,0.1
24628.34497,9,0.2
24603.84916,9,0.3
24704.24162,9,0.4
24637.27933,9,0.5
24707.44413,9,0.6
24736.76397,9,0.7
24823.35196,9,0.8
24786.34777,9,0.9
24796.29749,9,1
24814.00419,9,1.1
24763.29888,9,1.2
24832.3352,9,1.3
24793.11453,9,1.4
24852.48184,9,1.5
24842.44413,9,1.6
24804.6662,9,1.7
24823.86173,9,1.8
24818.21508,9,1.9
24826.25419,9,2
24871.66061,9,2.1
24850.02933,9,2.2
24832.18715,9,2.3
24817.8757,9,2.4
24844.57682,9,2.5
24865.61872,9,2.6
24847.80168,9,2.7
24866.91201,9,2.8
24877.47486,9,2.9
24873.48184,9,3
24840.99302,9,3.1
24861.97905,9,3.2
24899.19134,9,3.3
24879.31704,9,3.4
24906.44832,9,3.5
24927.34218,9,3.6
24921.9162,9,3.7
24940.17737,9,3.8
24940.73603,9,3.9
24934.90503,9,4
24981.20531,9,4.1
24980.78631,9,4.2
24962.77933,9,4.3
24966.80726,9,4.4
24970,9,4.5
24978.38687,9,4.6
24977.09218,9,4.7
24979.73045,9,4.8
24950.87709,9,4.9
24990.02933,9,5
24979.54469,9,5.1
24974.96229,9,5.2
24981.11732,9,5.3
24990.86034,9,5.4
24979.90503,9,5.5
25008.67318,9,5.6
25000.58101,9,5.7
25016.61313,9,5.8
25038.38966,9,5.9
25018.82123,9,6
24597.88268,10,0
24596.44832,10,0.1
24621.20391,10,0.2
24660.84218,10,0.3
24695.5838,10,0.4
24764.26816,10,0.5
24755.77793,10,0.6
24812.72626,10,0.7
24808.37011,10,0.8
24797.75419,10,0.9
24775.61313,10,1
24792.15642,10,1.1
24825.52933,10,1.2
24811.31006,10,1.3
24846.27793,10,1.4
24827.92039,10,1.5
24809.88128,10,1.6
24841.53911,10,1.7
24823.20112,10,1.8
24853.75559,10,1.9
24892.10196,10,2
24847.62989,10,2.1
24837.03073,10,2.2
24817.33939,10,2.3
24830.96927,10,2.4
24876.71648,10,2.5
24856.60196,10,2.6
24877.11732,10,2.7
24877.27095,10,2.8
24876.94693,10,2.9
24879.17179,10,3
24868.09916,10,3.1
24899.96229,10,3.2
24887.15084,10,3.3
24923.74162,10,3.4
24927.85615,10,3.5
24934.59777,10,3.6
24951.65922,10,3.7
24942.33659,10,3.8
24918.19274,10,3.9
24966.52374,10,4
24965.78631,10,4.1
24971.72486,10,4.2
24964.35894,10,4.3
24985.26816,10,4.4
24969.31704,10,4.5
24967.48045,10,4.6
24967.5838,10,4.7
24955.46089,10,4.8
24995.53492,10,4.9
24986.39525,10,5
24978.65922,10,5.1
24990.55028,10,5.2
24994.92598,10,5.3
24990.59358,10,5.4
25015.44134,10,5.5
24993.40363,10,5.6
25004.07542,10,5.7
25019.68994,10,5.8
25019.41341,10,5.9
25006.86453,10,6
24670.08799,11,0
24652.07821,11,0.1
24681.29749,11,0.2
24691.52933,11,0.3
24731.09497,11,0.4
24753.65363,11,0.5
24765.76676,11,0.6
24784.05307,11,0.7
24714.44553,11,0.8
24772.81425,11,0.9
24749.5,11,1
24786.56425,11,1.1
24829.74162,11,1.2
24849.25698,11,1.3
24851.7919,11,1.4
24826.13966,11,1.5
24823.97765,11,1.6
24876.36034,11,1.7
24861.60894,11,1.8
24878.2919,11,1.9
24828.22486,11,2
24820.87989,11,2.1
24822.9567,11,2.2
24851.7067,11,2.3
24873.91201,11,2.4
24864.69134,11,2.5
24895.06983,11,2.6
24883.82961,11,2.7
24885.66061,11,2.8
24893.33659,11,2.9
24880.19832,11,3
24924.72765,11,3.1
24922.02793,11,3.2
24936.50978,11,3.3
24928.42458,11,3.4
24936.43855,11,3.5
24960.61034,11,3.6
24929.34358,11,3.7
24939.09078,11,3.8
24967.1662,11,3.9
24975.06844,11,4
24976.81145,11,4.1
24981.64246,11,4.2
25007.88268,11,4.3
24955.58659,11,4.4
24957.4581,11,4.5
24971.09497,11,4.6
24989.53911,11,4.7
24987.69413,11,4.8
24999.6662,11,4.9
24993.64944,11,5
24992.6257,11,5.1
24990.78631,11,5.2
24998.98743,11,5.3
25004.81983,11,5.4
25006.83939,11,5.5
24987.91201,11,5.6
25024.95251,11,5.7
25011.43436,11,5.8
24993.99302,11,5.9
25017.40642,11,6
24661.84637,12,0
24709.84218,12,0.1
24701.24022,12,0.2
24718.05587,12,0.3
24757.69972,12,0.4
24751.82542,12,0.5
24717.98184,12,0.6
24744.33659,12,0.7
24753.08659,12,0.8
24751.30307,12,0.9
24834.72765,12,1
24855.17318,12,1.1
24859.56285,12,1.2
24863,12,1.3
24869.22765,12,1.4
24850.94274,12,1.5
24900.84358,12,1.6
24870.5405,12,1.7
24875.29749,12,1.8
24859.73324,12,1.9
24841.02514,12,2
24854.92458,12,2.1
24868.56564,12,2.2
24891.60475,12,2.3
24897.42318,12,2.4
24904.93715,12,2.5
24909.02654,12,2.6
24899.90642,12,2.7
24886.78352,12,2.8
24872.89665,12,2.9
24922.34916,12,3
24920.35335,12,3.1
24925.66899,12,3.2
24929.74441,12,3.3
24937.67877,12,3.4
24930.71648,12,3.5
24946.71369,12,3.6
24941.18715,12,3.7
24969.56285,12,3.8
24993.49441,12,3.9
24983.69972,12,4
25004.73324,12,4.1
24972.3338,12,4.2
24983.58101,12,4.3
24963.72207,12,4.4
24978.59078,12,4.5
24993.85894,12,4.6
24994.29888,12,4.7
24988.32263,12,4.8
24984.59777,12,4.9
