Budget,DISCLOSEPolicy_Benefit_183,DISCLOSEPolicy_183_0.25,DISCLOSEPolicy_183_0.5,DISCLOSEPolicy_183_0.75,StaticPolicy_Benefit_183,StaticPolicy_183_0.25,StaticPolicy_183_0.5,StaticPolicy_183_0.75,MCTSPolicy_Benefit_183,MCTSPolicy_183_0.25,MCTSPolicy_183_0.5,MCTSPolicy_183_0.75
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,3.1570996978851964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,3.1570996978851964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,9.722054380664652,0.0,0.0,0.0,3.1570996978851964,0.0,0.0,0.0,7.410876132930514,0.0,0.0,0.0
9,21.226586102719033,0.0,0.0,55.0,15.785498489425981,0.0,0.0,55.0,13.682779456193353,0.0,0.0,0.0
10,22.770392749244714,0.0,0.0,55.0,15.785498489425981,0.0,0.0,55.0,19.362537764350453,0.0,0.0,55.0
11,23.30211480362538,0.0,0.0,55.0,19.78247734138973,0.0,0.0,55.0,25.401812688821753,0.0,0.0,55.0
12,27.891238670694865,0.0,0.0,55.0,19.78247734138973,0.0,0.0,55.0,28.326283987915406,0.0,0.0,55.0
13,30.386706948640484,0.0,0.0,55.0,19.78247734138973,0.0,0.0,55.0,33.69486404833837,0.0,0.0,63.0
14,31.184290030211482,0.0,0.0,55.0,36.151057401812686,0.0,0.0,63.0,37.51057401812689,0.0,55.0,63.0
15,42.66465256797583,0.0,55.0,63.0,38.012084592145015,0.0,55.0,63.0,42.48942598187311,0.0,55.0,63.0
