Budget,DISCLOSEPolicy_Benefit_45,DISCLOSEPolicy_45_0.25,DISCLOSEPolicy_45_0.5,DISCLOSEPolicy_45_0.75,StaticPolicy_Benefit_45,StaticPolicy_45_0.25,StaticPolicy_45_0.5,StaticPolicy_45_0.75,MCTSPolicy_Benefit_45,MCTSPolicy_45_0.25,MCTSPolicy_45_0.5,MCTSPolicy_45_0.75
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,3.1570996978851964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,3.1570996978851964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,9.722054380664652,0.0,0.0,0.0,3.1570996978851964,0.0,0.0,0.0,5.61631419939577,0.0,0.0,0.0
9,21.226586102719033,0.0,0.0,55.0,15.785498489425981,0.0,0.0,55.0,12.217522658610273,0.0,0.0,0.0
10,22.770392749244714,0.0,0.0,55.0,15.785498489425981,0.0,0.0,55.0,17.649546827794563,0.0,0.0,55.0
11,23.30211480362538,0.0,0.0,55.0,19.78247734138973,0.0,0.0,55.0,25.093655589123866,0.0,0.0,55.0
12,27.891238670694865,0.0,0.0,55.0,19.78247734138973,0.0,0.0,55.0,28.84894259818731,0.0,0.0,55.0
13,30.386706948640484,0.0,0.0,55.0,19.78247734138973,0.0,0.0,55.0,33.27794561933535,0.0,0.0,55.0
14,31.184290030211482,0.0,0.0,55.0,36.151057401812686,0.0,0.0,63.0,37.94259818731118,0.0,55.0,63.0
15,42.66465256797583,0.0,55.0,63.0,38.012084592145015,0.0,55.0,63.0,42.14501510574018,0.0,55.0,63.0
