Budget,DISCLOSEPolicy_Benefit_45,DISCLOSEPolicy_45_0.25,DISCLOSEPolicy_45_0.5,DISCLOSEPolicy_45_0.75,StaticPolicy_Benefit_45,StaticPolicy_45_0.25,StaticPolicy_45_0.5,StaticPolicy_45_0.75,MCTSPolicy_Benefit_45,MCTSPolicy_45_0.25,MCTSPolicy_45_0.5,MCTSPolicy_45_0.75
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.2462686567164179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.2462686567164179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,3.529850746268657,0.0,0.0,0.0,3.529850746268657,0.0,0.0,0.0,3.364179104477612,0.0,0.0,0.0
9,3.529850746268657,0.0,0.0,0.0,3.529850746268657,0.0,0.0,0.0,3.364179104477612,0.0,0.0,0.0
10,31.435820895522387,0.0,0.0,79.75,39.91194029850746,0.0,0.0,88.0,35.44179104477612,0.0,0.0,88.0
11,35.04477611940298,0.0,0.0,88.0,44.33582089552239,0.0,55.0,88.0,39.05074626865672,0.0,0.0,88.0
12,44.76417910447761,0.0,47.0,88.0,49.32686567164179,0.0,78.0,88.0,47.96567164179105,0.0,55.0,88.0
13,51.670149253731346,0.0,55.0,88.0,50.886567164179105,0.0,78.0,88.0,56.20746268656716,0.0,78.0,88.0
14,51.670149253731346,0.0,55.0,88.0,50.886567164179105,0.0,78.0,88.0,56.20746268656716,0.0,78.0,88.0
15,65.74328358208955,0.0,78.0,88.0,62.96268656716418,0.0,78.0,88.0,67.38208955223881,0.0,88.0,110.5
